age,female,handi,horse_name,rank,weight
6,0,56,サクラシャイニー,8,468
6,0,56,ティアップワイルド,9,532
7,0,57,セレスハント,10,480
9,0,56,ダイショウジェット,11,568
6,0,56,ヒラボクワイルド,12,496
5,0,56,ゼンノベラーノ,13,538
6,0,56,オオトリオウジャ,14,506
8,0,57,フェラーリピサ,15,520
5,0,56,メイショウマシュウ,1,518
4,0,55,ガンジス,2,502
7,0,58,セイクリムズン,3,514
6,1,54,スティールパス,4,468
6,0,56,エーシンウェズン,5,534
7,0,59,テスタマッタ,6,504
6,0,56,トウショウカズン,7,530
7,0,56,ケイアイテンジン,8,486
7,0,56,ダノンカモン,9,526
6,0,56,メイショウツチヤマ,10,496
6,0,59,タイセイレジェンド,11,528
10,0,56,ダイショウジェット,12,566
7,0,56,ヒラボクワイルド,13,488
7,1,55,トシキャンディ,14,504
6,0,56,アーリーデイズ,15,470
7,0,56,ゴールスキー,1,484
6,0,57,ノーザンリバー,2,480
8,0,56,シルクフォーチュン,3,472
5,0,57,ブライトライン,4,524
7,0,57,アドマイヤロイヤル,5,524
8,0,56,ジョーメテオ,6,512
8,0,58,テスタマッタ,7,516
7,0,57,ドリームバレンチノ,8,490
8,0,56,ダノンカモン,9,528
6,0,56,アドマイヤサガス,10,522
6,0,56,スノードラゴン,11,510
8,0,57,セイクリムズン,12,514
9,0,57,セレスハント,13,482
4,0,58,エーシントップ,14,530
8,0,57,ティアップワイルド,15,534
7,0,56,スリーボストン,16,520
6,0,56,エアハリファ,1,480
6,0,57,ワイドバッハ,2,490
8,0,56,アドマイヤロイヤル,3,528
8,0,57,ゴールスキー,4,492
7,0,56,キョウワダッフィー,5,470
7,0,56,レーザーバレット,6,478
9,0,56,マルカフリート,7,488
5,0,58,ロゴタイプ,8,500
8,0,57,キョウエイアシュラ,9,470
7,0,58,グレープブランデー,10,540
9,0,56,ジョーメテオ,11,520
6,0,56,ポアゾンブラック,12,524
7,0,56,サトノタイガー,13,476
5,0,56,サトノプリンシパル,14,556
6,0,56,キクノストーム,15,494
9,0,56,シルクフォーチュン,16,470
4,0,55,モーニン,1,526
8,0,56,タールタン,2,502
8,0,58,グレープブランデー,3,534
6,0,57,タガノトネール,4,496
5,1,54,アンズチャン,5,480
5,0,56,プロトコル,6,526
8,0,57,レーザーバレット,7,488
10,0,56,マルカフリート,8,500
8,0,56,アドマイヤサガス,9,536
5,0,56,レッドファルクス,10,476
9,0,56,キョウエイアシュラ,11,470
9,0,56,アドマイヤロイヤル,12,532
8,0,56,サトノタイガー,13,474
5,0,56,サクラエール,14,488
5,0,57,シゲルカガ,15,518
7,0,56,シンキングマシーン,16,504
